nomor_kontrak,nama_vendor,jenis_pengadaan,durasi_kontrak,tanggal_mulai,tanggal_berakhir,nilai_kontrak
KTRK-100000,PT Solusi Digital Solusindo,Pengembangan,674,2024-08-25,2026-06-30,"Rp924.962.117,00"
KTRK-100001,PT BitData Corp,Pembelian,613,2024-02-03,2025-10-08,"Rp735.602.484,00"
KTRK-100002,PT Koneksi Global Tbk,Pengembangan,682,2023-04-23,2025-03-05,"Rp907.733.535,00"
KTRK-100003,PT BitData Corp,Pembelian,340,2024-11-06,2025-10-12,"Rp739.450.201,00"
KTRK-100004,PT BitData Tbk,Maintenance,888,2024-10-23,2027-03-30,"Rp839.099.681,00"
KTRK-100005,PT NetSol Tbk,Maintenance,194,2024-06-26,2025-01-06,"Rp769.976.533,00"
KTRK-100006,PT Inovasi Digital Group,Maintenance,570,2023-09-19,2025-04-11,"Rp921.785.546,00"
KTRK-100007,PT Indoinovasi Internasional,Maintenance,229,2023-04-02,2023-11-17,"Rp849.266.116,00"
KTRK-100008,PT Mitra Satu Systems,Pengembangan,416,2023-12-10,2025-01-29,"Rp766.984.258,00"
KTRK-100009,PT Teknologi Nusantara Solusindo,Pengembangan,266,2024-07-06,2025-03-29,"Rp828.474.896,00"
KTRK-100010,PT BitData Corp,Pengembangan,760,2023-02-22,2025-03-23,"Rp613.764.478,00"
KTRK-100011,PT Sibernetika Tbk,Maintenance,982,2023-06-12,2026-02-18,"Rp963.777.611,00"
KTRK-100012,PT Sibernetika Internasional,Pembelian,909,2023-11-25,2026-05-22,"Rp596.372.909,00"
KTRK-100013,PT Aksara Teknologi Solusindo,Maintenance,877,2023-01-27,2025-06-22,"Rp962.396.045,00"
KTRK-100014,PT NetSol Group,Pembelian,818,2023-09-07,2025-12-03,"Rp897.433.624,00"
KTRK-100015,PT BitData Internasional,Maintenance,544,2024-07-21,2026-01-16,"Rp739.137.803,00"
KTRK-100016,PT Sibernetika Solusindo,Pengembangan,401,2023-05-15,2024-06-19,"Rp605.511.721,00"
KTRK-100017,PT Cakrawala Teknologi Group,Pengembangan,504,2023-01-09,2024-05-27,"Rp891.407.451,00"
KTRK-100018,PT Teknologi Nusantara Systems,Maintenance,528,2024-01-04,2025-06-15,"Rp736.895.457,00"
