nomor_kontrak,nama_vendor,jenis_pengadaan,durasi_kontrak,tanggal_mulai,tanggal_berakhir,nilai_kontrak,jenis_encoded,Prioritas,Prioritas_encoded,Prioritas_Prediksi,Prioritas_Prediksi_encoded
KTRK-100000,PT Solusi Digital Solusindo,Pengembangan,674,2024-08-25 0:00:00,2026-06-30 0:00:00,924962117,2,Sedang,1,Sedang,1
KTRK-100001,PT BitData Corp,Pembelian,613,2024-02-03 0:00:00,2025-10-08 0:00:00,735602484,1,Rendah,0,Rendah,0
KTRK-100002,PT Koneksi Global Tbk,Pengembangan,682,2023-04-23 0:00:00,2025-03-05 0:00:00,907733535,2,Sedang,1,Sedang,1
KTRK-100003,PT BitData Corp,Pembelian,340,2024-11-06 0:00:00,2025-10-12 0:00:00,739450201,1,Rendah,0,Rendah,0
KTRK-100004,PT BitData Tbk,Maintenance,888,2024-10-23 0:00:00,2027-03-30 0:00:00,839099681,0,Tinggi,2,Tinggi,2
KTRK-100005,PT NetSol Tbk,Maintenance,194,2024-06-26 0:00:00,2025-01-06 0:00:00,769976533,0,Tinggi,2,Tinggi,2
KTRK-100006,PT Inovasi Digital Group,Maintenance,570,2023-09-19 0:00:00,2025-04-11 0:00:00,921785546,0,Tinggi,2,Tinggi,2
KTRK-100007,PT Indoinovasi Internasional,Maintenance,229,2023-04-02 0:00:00,2023-11-17 0:00:00,849266116,0,Tinggi,2,Tinggi,2
KTRK-100008,PT Mitra Satu Systems,Pengembangan,416,2023-12-10 0:00:00,2025-01-29 0:00:00,766984258,2,Sedang,1,Sedang,1
KTRK-100009,PT Teknologi Nusantara Solusindo,Pengembangan,266,2024-07-06 0:00:00,2025-03-29 0:00:00,828474896,2,Sedang,1,Sedang,1
KTRK-100010,PT BitData Corp,Pengembangan,760,2023-02-22 0:00:00,2025-03-23 0:00:00,613764478,2,Tinggi,2,Tinggi,2
KTRK-100011,PT Sibernetika Tbk,Maintenance,982,2023-06-12 0:00:00,2026-02-18 0:00:00,963777611,0,Tinggi,2,Tinggi,2
KTRK-100012,PT Sibernetika Internasional,Pembelian,909,2023-11-25 0:00:00,2026-05-22 0:00:00,596372909,1,Rendah,0,Rendah,0
KTRK-100013,PT Aksara Teknologi Solusindo,Maintenance,877,2023-01-27 0:00:00,2025-06-22 0:00:00,962396045,0,Tinggi,2,Tinggi,2
KTRK-100014,PT NetSol Group,Pembelian,818,2023-09-07 0:00:00,2025-12-03 0:00:00,897433624,1,Rendah,0,Rendah,0
KTRK-100015,PT BitData Internasional,Maintenance,544,2024-07-21 0:00:00,2026-01-16 0:00:00,739137803,0,Tinggi,2,Tinggi,2
KTRK-100016,PT Sibernetika Solusindo,Pengembangan,401,2023-05-15 0:00:00,2024-06-19 0:00:00,605511721,2,Sedang,1,Sedang,1
KTRK-100017,PT Cakrawala Teknologi Group,Pengembangan,504,2023-01-09 0:00:00,2024-05-27 0:00:00,891407451,2,Sedang,1,Sedang,1
KTRK-100018,PT Teknologi Nusantara Systems,Maintenance,528,2024-01-04 0:00:00,2025-06-15 0:00:00,736895457,0,Tinggi,2,Tinggi,2
KTRK-100019,PT Teknologi Nusantara Corp,Pengembangan,838,2024-01-16 0:00:00,2026-05-03 0:00:00,417623994,2,Rendah,0,Rendah,0
KTRK-100020,PT Indoinovasi Tbk,Pengembangan,1002,2024-08-25 0:00:00,2027-05-24 0:00:00,282351990,2,Rendah,0,Rendah,0
KTRK-100021,PT Cakrawala Teknologi Group,Maintenance,767,2024-08-22 0:00:00,2026-09-28 0:00:00,184691221,0,Rendah,0,Rendah,0
KTRK-100022,PT Koneksi Global Corp,Pengembangan,527,2024-05-30 0:00:00,2025-11-08 0:00:00,244476085,2,Rendah,0,Rendah,0
KTRK-100023,PT BitData Corp,Maintenance,626,2024-04-12 0:00:00,2025-12-29 0:00:00,183070481,0,Sedang,1,Sedang,1
KTRK-100024,PT Digikarya Corp,Pembelian,422,2023-09-10 0:00:00,2024-11-05 0:00:00,222342405,1,Sedang,1,Sedang,1
KTRK-100025,PT Aksara Teknologi Group,Pembelian,290,2024-05-26 0:00:00,2025-03-12 0:00:00,232550866,1,Rendah,0,Rendah,0
KTRK-100026,PT Digikarya Group,Pembelian,846,2023-03-02 0:00:00,2025-06-25 0:00:00,384919316,1,Rendah,0,Rendah,0
KTRK-100027,PT Indoinovasi Corp,Pengembangan,1050,2023-10-03 0:00:00,2026-08-18 0:00:00,380185712,2,Rendah,0,Rendah,0
KTRK-100028,PT Komputasi Utama Systems,Pengembangan,351,2023-10-01 0:00:00,2024-09-16 0:00:00,355990110,2,Rendah,0,Rendah,0
KTRK-100029,PT Cakrawala Teknologi Corp,Pembelian,193,2023-03-25 0:00:00,2023-10-04 0:00:00,180047248,1,Rendah,0,Rendah,0
KTRK-100030,PT BitData Corp,Pembelian,222,2024-04-23 0:00:00,2024-12-01 0:00:00,137810537,1,Rendah,0,Rendah,0
KTRK-100031,PT Sibernetika Group,Maintenance,1077,2023-01-20 0:00:00,2026-01-01 0:00:00,164620615,0,Sedang,1,Sedang,1
KTRK-100032,PT Mitra Satu Systems,Pembelian,830,2024-05-09 0:00:00,2026-08-17 0:00:00,211549394,1,Rendah,0,Rendah,0
KTRK-100033,PT Cakrawala Teknologi Corp,Maintenance,945,2024-10-27 0:00:00,2027-05-30 0:00:00,402800699,0,Sedang,1,Sedang,1
